"No.","Time","Source","Destination","Protocol","Length","Info"
"66","6.049245182","127.0.0.1","127.0.0.1","TCP","68","60674  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280362090 TSecr=2280362090 [TCP segment of a reassembled PDU]"
"69","6.059181986","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280362100 TSecr=2280362100"
"71","7.059882643","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280363100 TSecr=2280363100"
"73","7.059935089","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280363100 TSecr=2280363100"
"74","8.072394459","127.0.0.1","127.0.0.1","TCP","70","60674  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280364113 TSecr=2280363100 [TCP segment of a reassembled PDU]"
"76","8.072515815","127.0.0.1","127.0.0.1","TCP","83","60674  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280364113 TSecr=2280364113"
"78","8.072579939","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280364113 TSecr=2280364113"
"80","8.072717156","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280364113 TSecr=2280364113"
"81","8.077770728","127.0.0.1","127.0.0.1","TCP","74","60676  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280364118 TSecr=0 WS=128"
"83","8.077813790","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280364118 TSecr=2280364118"
"84","8.077968346","127.0.0.1","127.0.0.1","TCP","70","60676  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280364118 TSecr=2280364118"
"86","8.078006904","127.0.0.1","127.0.0.1","TCP","68","60676  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280364118 TSecr=2280364118 [TCP segment of a reassembled PDU]"
"89","8.082279614","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280364123 TSecr=2280364123"
"91","9.086345018","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280365127 TSecr=2280365127"
"93","9.086381311","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280365127 TSecr=2280365127"
"94","10.097038650","127.0.0.1","127.0.0.1","TCP","70","60676  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280366137 TSecr=2280365127 [TCP segment of a reassembled PDU]"
"96","10.097087246","127.0.0.1","127.0.0.1","TCP","83","60676  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280366137 TSecr=2280366137"
"98","10.097120398","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280366137 TSecr=2280366137"
"100","10.097171430","127.0.0.1","127.0.0.1","TCP","66","60676  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280366138 TSecr=2280366138"
"101","10.098658308","127.0.0.1","127.0.0.1","TCP","74","60678  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280366139 TSecr=0 WS=128"
"103","10.098670427","127.0.0.1","127.0.0.1","TCP","66","60678  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280366139 TSecr=2280366139"
"104","10.098702889","127.0.0.1","127.0.0.1","TCP","70","60678  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280366139 TSecr=2280366139"
"106","10.098712045","127.0.0.1","127.0.0.1","TCP","68","60678  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280366139 TSecr=2280366139 [TCP segment of a reassembled PDU]"
"109","10.101140349","127.0.0.1","127.0.0.1","TCP","66","60678  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280366142 TSecr=2280366142"
"111","11.103597905","127.0.0.1","127.0.0.1","TCP","66","60678  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280367144 TSecr=2280367144"
"113","11.103654600","127.0.0.1","127.0.0.1","TCP","66","60678  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280367144 TSecr=2280367144"
"114","12.111449653","127.0.0.1","127.0.0.1","TCP","70","60678  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280368152 TSecr=2280367144 [TCP segment of a reassembled PDU]"
"116","12.111498707","127.0.0.1","127.0.0.1","TCP","83","60678  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280368152 TSecr=2280368152"
"119","12.111610314","127.0.0.1","127.0.0.1","TCP","66","60678  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280368152 TSecr=2280368152"
"121","12.113329937","127.0.0.1","127.0.0.1","TCP","74","60680  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280368154 TSecr=0 WS=128"
"123","12.113342541","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280368154 TSecr=2280368154"
"124","12.113382427","127.0.0.1","127.0.0.1","TCP","70","60680  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280368154 TSecr=2280368154"
"126","12.113391588","127.0.0.1","127.0.0.1","TCP","68","60680  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280368154 TSecr=2280368154 [TCP segment of a reassembled PDU]"
"129","12.116256360","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280368157 TSecr=2280368157"
"131","13.116751487","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280369157 TSecr=2280369157"
"133","13.116798763","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280369157 TSecr=2280369157"
"134","14.123435970","127.0.0.1","127.0.0.1","TCP","70","60680  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280370164 TSecr=2280369157 [TCP segment of a reassembled PDU]"
"136","14.123544915","127.0.0.1","127.0.0.1","TCP","83","60680  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280370164 TSecr=2280370164"
"138","14.123585793","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280370164 TSecr=2280370164"
"140","14.123631398","127.0.0.1","127.0.0.1","TCP","66","60680  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280370164 TSecr=2280370164"
"141","14.126677880","127.0.0.1","127.0.0.1","TCP","74","60682  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280370167 TSecr=0 WS=128"
"143","14.126698500","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280370167 TSecr=2280370167"
"144","14.126751483","127.0.0.1","127.0.0.1","TCP","70","60682  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280370167 TSecr=2280370167"
"146","14.126766808","127.0.0.1","127.0.0.1","TCP","68","60682  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280370167 TSecr=2280370167 [TCP segment of a reassembled PDU]"
"149","14.131207742","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280370172 TSecr=2280370172"
"151","15.134174425","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280371174 TSecr=2280371174"
"153","15.134237389","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280371175 TSecr=2280371175"
"154","16.143759247","127.0.0.1","127.0.0.1","TCP","70","60682  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280372184 TSecr=2280371175 [TCP segment of a reassembled PDU]"
"156","16.143793634","127.0.0.1","127.0.0.1","TCP","83","60682  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280372184 TSecr=2280372184"
"158","16.143824329","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280372184 TSecr=2280372184"
"160","16.143877932","127.0.0.1","127.0.0.1","TCP","66","60682  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280372184 TSecr=2280372184"
"161","16.145395363","127.0.0.1","127.0.0.1","TCP","74","60684  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280372186 TSecr=0 WS=128"
"163","16.145407450","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280372186 TSecr=2280372186"
"164","16.145437236","127.0.0.1","127.0.0.1","TCP","70","60684  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280372186 TSecr=2280372186"
"166","16.145445874","127.0.0.1","127.0.0.1","TCP","68","60684  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280372186 TSecr=2280372186 [TCP segment of a reassembled PDU]"
"169","16.147863763","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280372188 TSecr=2280372188"
"171","17.150524989","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280373191 TSecr=2280373191"
"173","17.150584534","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280373191 TSecr=2280373191"
"174","18.158714865","127.0.0.1","127.0.0.1","TCP","70","60684  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280374199 TSecr=2280373191 [TCP segment of a reassembled PDU]"
"176","18.158762522","127.0.0.1","127.0.0.1","TCP","83","60684  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280374199 TSecr=2280374199"
"178","18.158795325","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280374199 TSecr=2280374199"
"180","18.158856497","127.0.0.1","127.0.0.1","TCP","66","60684  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280374199 TSecr=2280374199"
"181","18.160392388","127.0.0.1","127.0.0.1","TCP","74","60686  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280374201 TSecr=0 WS=128"
"183","18.160405266","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280374201 TSecr=2280374201"
"184","18.160437372","127.0.0.1","127.0.0.1","TCP","70","60686  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280374201 TSecr=2280374201"
"186","18.160446810","127.0.0.1","127.0.0.1","TCP","68","60686  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280374201 TSecr=2280374201 [TCP segment of a reassembled PDU]"
"189","18.162933041","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280374203 TSecr=2280374203"
"191","19.163997390","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280375204 TSecr=2280375204"
"193","19.164062266","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280375204 TSecr=2280375204"
"194","20.173845367","127.0.0.1","127.0.0.1","TCP","70","60686  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280376214 TSecr=2280375204 [TCP segment of a reassembled PDU]"
"196","20.173892406","127.0.0.1","127.0.0.1","TCP","83","60686  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280376214 TSecr=2280376214"
"198","20.173923972","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280376214 TSecr=2280376214"
"200","20.173968957","127.0.0.1","127.0.0.1","TCP","66","60686  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280376214 TSecr=2280376214"
"201","20.175485556","127.0.0.1","127.0.0.1","TCP","74","60688  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280376216 TSecr=0 WS=128"
"203","20.175498479","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280376216 TSecr=2280376216"
"204","20.175530553","127.0.0.1","127.0.0.1","TCP","70","60688  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280376216 TSecr=2280376216"
"206","20.175539615","127.0.0.1","127.0.0.1","TCP","68","60688  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280376216 TSecr=2280376216 [TCP segment of a reassembled PDU]"
"209","20.177969802","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280376218 TSecr=2280376218"
"211","21.180652122","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280377221 TSecr=2280377221"
"213","21.180668975","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280377221 TSecr=2280377221"
"214","22.189512003","127.0.0.1","127.0.0.1","TCP","70","60688  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280378230 TSecr=2280377221 [TCP segment of a reassembled PDU]"
"216","22.189561289","127.0.0.1","127.0.0.1","TCP","83","60688  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280378230 TSecr=2280378230"
"218","22.189593955","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280378230 TSecr=2280378230"
"220","22.189626276","127.0.0.1","127.0.0.1","TCP","66","60688  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280378230 TSecr=2280378230"
"221","22.191156917","127.0.0.1","127.0.0.1","TCP","74","60690  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280378232 TSecr=0 WS=128"
"223","22.191170266","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280378232 TSecr=2280378232"
"224","22.191202733","127.0.0.1","127.0.0.1","TCP","70","60690  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280378232 TSecr=2280378232"
"226","22.191212014","127.0.0.1","127.0.0.1","TCP","68","60690  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280378232 TSecr=2280378232 [TCP segment of a reassembled PDU]"
"229","22.193694925","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280378234 TSecr=2280378234"
"231","23.194814408","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280379235 TSecr=2280379235"
"233","23.194844160","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280379235 TSecr=2280379235"
"234","24.202719901","127.0.0.1","127.0.0.1","TCP","70","60690  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280380243 TSecr=2280379235 [TCP segment of a reassembled PDU]"
"236","24.202769665","127.0.0.1","127.0.0.1","TCP","83","60690  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280380243 TSecr=2280380243"
"238","24.202790055","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280380243 TSecr=2280380243"
"240","24.202867701","127.0.0.1","127.0.0.1","TCP","66","60690  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280380243 TSecr=2280380243"
"241","24.204407164","127.0.0.1","127.0.0.1","TCP","74","60692  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280380245 TSecr=0 WS=128"
"243","24.204419287","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280380245 TSecr=2280380245"
"244","24.204452607","127.0.0.1","127.0.0.1","TCP","70","60692  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280380245 TSecr=2280380245"
"246","24.204462806","127.0.0.1","127.0.0.1","TCP","68","60692  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280380245 TSecr=2280380245 [TCP segment of a reassembled PDU]"
"249","24.206978490","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280380247 TSecr=2280380247"
"251","25.211033715","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280381251 TSecr=2280381251"
"253","25.211085803","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280381251 TSecr=2280381251"
"254","26.220076699","127.0.0.1","127.0.0.1","TCP","70","60692  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280382260 TSecr=2280381251 [TCP segment of a reassembled PDU]"
"256","26.220114337","127.0.0.1","127.0.0.1","TCP","83","60692  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280382260 TSecr=2280382260"
"258","26.220145238","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280382261 TSecr=2280382260"
"260","26.220204176","127.0.0.1","127.0.0.1","TCP","66","60692  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280382261 TSecr=2280382261"
"261","26.221704875","127.0.0.1","127.0.0.1","TCP","74","60694  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280382262 TSecr=0 WS=128"
"263","26.221717521","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280382262 TSecr=2280382262"
"264","26.221751095","127.0.0.1","127.0.0.1","TCP","70","60694  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280382262 TSecr=2280382262"
"266","26.221759960","127.0.0.1","127.0.0.1","TCP","68","60694  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280382262 TSecr=2280382262 [TCP segment of a reassembled PDU]"
"269","26.224267111","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280382265 TSecr=2280382265"
"271","27.228908719","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280383269 TSecr=2280383269"
"273","27.228962257","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280383269 TSecr=2280383269"
